sitio,id_dispositivo,tipo_dispositivo,long,lat,fecha_puesta,fecha_retiro,esfuerzo,operativo,hora_puesta,hora_retiro,paisaje,uso_general,instalacion_en,marca,modelo,obs,obs2
CV,CV01_1,camera,,,,,,,,,,,,,,,
CV,CV01_2,camera,,,,,,,,,,,,,,,
CV,CV02_1,camera,,,,,,,,,,,,,,,
CV,CV03_1,camera,,,,,,,,,,,,,,,
CV,CV03_2,camera,,,,,,,,,,,,,,,
CV,CV03_3,camera,,,,,,,,,,,,,,,
CV,CV04_2,camera,,,,,,,,,,,,,,,
CV,CV04_3,camera,,,,,,,,,,,,,,,
CV,CV05_1,camera,,,,,,,,,,,,,,,
CV,CV05_3,camera,,,,,,,,,,,,,,,
CV,CV06_1,camera,,,,,,,,,,,,,,,
CV,CV06_2,camera,,,,,,,,,,,,,,,
CV,CV06_3,camera,,,,,,,,,,,,,,,
CV,CV07_1,camera,,,,,,,,,,,,,,,
CV,CV07_2,camera,,,,,,,,,,,,,,,
CV,CV07_3,camera,,,,,,,,,,,,,,,
LG,LG00_1,camera,,,,,,,,,,,,,,,
LG,LG00_2,camera,,,,,,,,,,,,,,,
LG,LG00_3,camera,,,,,,,,,,,,,,,
LG,LG01_1,camera,,,,,,,,,,,,,,,
LG,LG01_2,camera,,,,,,,,,,,,,,,
LG,LG01_3,camera,,,,,,,,,,,,,,,
LG,LG02_1,camera,,,,,,,,,,,,,,,
LG,LG02_2,camera,,,,,,,,,,,,,,,
LG,LG02_3,camera,,,,,,,,,,,,,,,
LG,LG03_1,camera,,,,,,,,,,,,,,,
LG,LG03_2,camera,,,,,,,,,,,,,,,
LG,LG03_3,camera,,,,,,,,,,,,,,,
LG,LG04_1,camera,,,,,,,,,,,,,,,
LG,LG04_2,camera,,,,,,,,,,,,,,,
LG,LG04_3,camera,,,,,,,,,,,,,,,
LG,LG06_1,camera,,,,,,,,,,,,,,,
LG,LG06_2,camera,,,,,,,,,,,,,,,
LG,LG06_3,camera,,,,,,,,,,,,,,,
LG,LG07_1,camera,,,,,,,,,,,,,,,
LG,LG07_2,camera,,,,,,,,,,,,,,,
LG,LG07_3,camera,,,,,,,,,,,,,,,
LG,LG08_1,camera,,,,,,,,,,,,,,,
LG,LG08_2,camera,,,,,,,,,,,,,,,
LG,LG08_3,camera,,,,,,,,,,,,,,,
LG,LG09_2,camera,,,,,,,,,,,,,,,
LG,LG09_3,camera,,,,,,,,,,,,,,,
LG,LG10_1,camera,,,,,,,,,,,,,,,
LG,LG10_2,camera,,,,,,,,,,,,,,,
